<<<<<<< HEAD
serial no,average_word,word length,up,low_ratio,smiley_count,stopword_usage,punctuation,msg_length,acro_line,smiley_count,stopword_usage,punctuation,punctuation
488,6,4,10,1,0,0,0,11,0,0,0,0,-1
489,4,2,28,1,1,0,0,29,0,1,0,0,-1
490,2,2,47,1,0,0,0,48,0,0,0,0,-1
491,1,0,18,1,0,0,4,19,0,0,0,4,3
492,1,6,37,1,0,0,0,38,0,0,0,0,-1
493,6,3,23,1,1,0,0,24,0,1,0,0,-1
494,5,3,8,1,1,0,0,9,0,1,0,0,-1
495,1,6,3,1,0,0,0,4,0,0,0,0,-1
496,5,4,0,0,2,0,0,0,0,2,0,0,-1
497,3,5,5,1,0,0,0,6,0,0,0,0,-1
498,16,3,21,1,0,0,0,22,0,0,0,0,-1
499,7,4,18,1,0,0,0,19,0,0,0,0,-1
=======
serial no,average_word,word length,up,low_ratio,smiley_count,stopword_usage,punctuation,msg_length,acro_line
1,3,4,12,1,0,0,0,13,0
2,2,4,8,1,0,0,0,9,0
3,6,3,22,1,0,0,1,23,0
4,5,3,17,1,0,0,1,18,0
5,8,4,31,2,0,0,2,33,0
6,3,3,7,2,0,0,1,9,0
7,10,2,29,0,1,0,2,29,0
8,5,4,19,1,0,0,0,20,0
9,31,3,111,2,0,0,2,113,1
10,5,4,19,1,0,0,1,20,0
11,1,4,3,1,0,0,1,4,0
12,9,3,26,1,0,0,1,27,0
13,4,3,11,1,0,0,1,12,0
14,2,4,7,1,0,0,1,8,0
15,5,3,17,2,0,0,1,19,0
16,3,2,6,1,1,0,0,7,0
17,1,9,8,1,0,0,-1,9,0
18,8,3,25,2,0,0,1,27,1
19,1,4,3,1,0,0,1,4,0
20,4,4,17,1,0,0,0,18,0
21,3,3,9,1,0,0,0,10,0
22,8,3,26,1,0,0,1,27,0
23,5,3,16,1,1,0,0,17,0
24,6,4,27,1,0,0,0,28,0
25,7,3,23,1,0,0,0,24,0
26,2,2,4,1,0,0,0,5,0
27,1,0,0,0,1,0,0,0,0
28,8,3,30,1,0,0,0,31,0
29,8,3,30,1,0,0,0,31,0
30,8,3,30,1,0,0,0,31,0
31,1,0,0,0,1,0,0,0,0
32,11,3,40,1,1,0,0,41,0
33,5,4,20,1,1,0,0,21,0
34,8,5,39,1,0,0,0,40,0
35,8,4,31,2,0,0,1,33,0
36,4,3,14,1,0,0,0,15,0
37,2,3,6,1,0,0,0,7,0
38,10,4,46,1,0,0,0,47,0
39,8,4,37,1,0,0,1,38,0
40,15,4,58,2,0,0,2,60,0
41,7,4,27,1,0,0,0,28,0
42,3,4,12,1,0,0,0,13,0
43,22,4,89,1,0,0,1,90,0
44,8,4,32,1,0,0,0,33,0
45,2,4,7,1,0,0,0,8,3
46,1,3,2,1,0,0,0,3,0
47,2,3,6,1,0,0,0,7,0
48,6,4,23,1,0,0,0,24,1
49,1,0,0,0,1,0,0,0,0
50,14,4,56,2,0,0,1,58,0
51,1,0,0,0,1,0,0,0,0
52,7,4,31,1,0,0,1,32,0
53,6,3,22,0,0,0,0,22,0
54,3,6,18,1,0,0,0,19,0
55,5,6,30,2,0,0,2,32,0
56,1,0,0,0,1,0,0,0,0
57,5,3,15,1,0,0,1,16,0
58,1,0,0,0,0,0,1,0,0
59,1,4,3,1,0,0,0,4,0
60,7,3,23,1,0,0,1,24,0
61,8,4,34,1,0,0,1,35,0
62,10,3,36,2,0,0,1,38,0
63,3,3,8,1,0,0,1,9,0
64,2,2,4,0,0,0,2,4,0
65,2,2,4,0,0,0,2,4,0
66,3,1,4,0,1,0,1,4,0
67,7,3,22,1,0,0,1,23,0
68,4,5,19,1,0,0,0,20,0
69,2,2,4,0,0,0,1,4,0
70,1,0,0,0,1,0,0,0,0
71,3,2,6,1,0,0,0,7,0
72,7,3,21,1,1,0,1,22,0
73,11,4,48,1,0,0,2,49,0
74,4,2,10,1,0,0,0,11,0
75,3,2,7,1,0,0,2,8,0
76,8,3,30,1,0,0,0,31,0
77,7,2,17,1,0,0,3,18,0
78,3,2,8,0,0,0,2,8,0
79,2,3,6,0,0,0,2,6,0
80,2,2,4,0,0,0,2,4,0
81,2,3,7,0,0,0,2,7,0
82,1,4,3,1,0,0,0,4,0
83,6,3,21,1,0,0,0,22,0
84,8,4,32,1,0,0,0,33,0
85,11,4,48,1,0,0,0,49,0
86,9,3,27,1,0,0,2,28,0
87,3,3,10,1,0,0,0,11,0
88,3,3,9,1,0,0,0,10,0
89,3,3,9,1,0,0,0,10,0
90,3,3,10,1,0,0,0,11,0
91,9,3,34,1,0,0,0,35,0
92,3,3,10,1,0,0,0,11,0
93,5,4,21,1,0,0,0,22,0
94,22,4,88,1,0,0,1,89,0
95,1,6,5,1,0,0,1,6,0
96,5,4,22,1,0,0,1,23,0
97,10,3,38,1,0,0,2,39,1
98,7,4,27,1,0,0,1,28,0
99,5,5,26,1,0,0,1,27,0
100,5,4,19,1,0,0,0,20,0
101,8,3,27,1,0,0,1,28,0
102,8,4,32,2,0,0,1,34,0
103,8,4,31,1,1,0,0,32,0
104,8,3,23,1,1,0,0,24,0
105,10,3,37,1,0,0,1,38,0
106,33,4,132,1,0,0,3,133,0
107,18,3,66,1,1,0,1,67,0
108,4,4,15,1,0,0,1,16,0
109,10,4,39,1,0,0,1,40,0
110,5,3,17,1,0,0,1,18,0
111,10,3,36,1,0,1,0,37,0
112,2,1,1,1,1,0,0,2,1
113,5,4,22,1,0,0,0,23,0
114,2,4,8,1,0,0,0,9,1
115,21,3,79,1,0,0,1,80,0
116,3,4,12,1,0,0,0,13,0
117,19,4,76,1,0,0,0,77,1
118,16,4,70,1,0,1,0,71,0
119,10,3,30,1,1,0,0,31,0
120,1,4,3,1,0,0,0,4,0
121,13,4,53,1,0,5,1,54,1
122,6,4,27,1,0,0,0,28,0
123,4,3,11,1,0,0,1,12,0
124,1,0,0,0,1,0,0,0,0
125,1,4,3,1,0,0,0,4,0
126,7,3,25,1,0,0,1,26,0
127,2,4,7,1,0,0,1,8,0
128,5,3,16,1,0,0,1,17,0
129,1,2,1,1,0,0,0,2,0
130,11,3,33,1,1,0,0,34,0
131,6,2,16,1,1,0,0,17,0
132,5,4,23,1,0,0,0,24,0
133,12,4,48,2,0,0,1,50,0
134,8,3,29,1,0,0,1,30,0
135,6,4,25,1,1,0,0,26,0
136,8,4,34,4,0,0,1,38,0
137,7,3,23,1,0,0,0,24,0
138,9,4,41,2,0,0,1,43,0
139,3,2,7,1,0,1,0,8,1
140,1,6,5,1,0,0,0,6,0
141,3,4,11,1,0,0,0,12,0
142,3,1,3,1,1,0,1,4,0
143,9,3,31,1,1,0,1,32,0
144,1,4,3,1,0,0,1,4,0
145,5,3,15,1,1,0,0,16,0
146,6,3,19,1,0,0,0,20,0
147,8,3,28,2,1,0,2,30,0
148,2,5,10,1,0,0,1,11,0
149,5,3,17,1,0,0,1,18,0
150,2,2,4,1,0,0,1,5,0
151,1,3,2,1,0,0,1,3,0
152,5,3,15,1,0,0,0,16,0
153,1,2,1,1,0,0,0,2,1
154,2,4,7,1,0,0,1,8,0
155,6,4,23,1,0,0,0,24,0
156,1,0,0,0,1,0,0,0,0
157,6,4,23,1,0,0,1,24,0
158,2,3,5,1,0,0,0,6,0
159,7,4,33,1,0,0,0,34,0
160,6,3,21,1,0,0,1,22,0
161,8,3,27,1,1,0,0,28,0
162,7,3,20,1,0,0,2,21,1
163,7,3,23,1,0,0,0,24,0
164,8,3,25,1,0,0,0,26,0
165,5,4,21,1,0,0,0,22,0
166,11,3,32,1,1,0,0,33,0
167,1,4,3,1,0,0,1,4,0
168,11,3,42,1,0,0,0,43,0
169,7,3,22,1,1,0,0,23,0
170,5,4,21,1,0,0,0,22,0
171,5,4,19,3,0,0,1,22,0
172,13,3,41,1,1,0,0,42,0
173,16,3,52,2,1,0,1,54,0
174,14,4,57,2,1,0,1,59,0
175,4,2,8,1,1,0,0,9,0
176,7,3,26,1,0,0,0,27,0
177,6,3,20,1,0,0,0,21,0
178,7,3,21,1,1,0,0,22,0
179,6,3,22,1,0,0,0,23,0
180,1,0,0,0,1,0,0,0,0
181,7,4,30,1,1,0,0,31,0
182,7,3,22,1,0,0,0,23,0
183,1,0,0,0,2,0,0,0,0
184,4,4,16,1,0,0,1,17,0
185,7,3,23,2,0,0,1,25,1
186,8,6,48,1,0,0,0,49,0
187,11,3,35,1,0,0,0,36,0
188,3,3,9,1,0,0,0,10,0
189,5,3,17,1,0,0,0,18,0
190,8,3,27,1,0,0,1,28,0
191,4,3,11,1,0,0,0,12,0
192,10,3,32,2,0,0,1,34,0
193,9,2,24,1,0,0,2,25,1
194,8,4,31,2,0,0,2,33,0
195,2,4,7,1,0,0,0,8,0
196,1,5,4,1,0,0,0,5,0
197,4,7,30,1,0,0,0,31,0
198,3,4,11,1,0,0,0,12,0
199,5,4,19,1,0,2,1,20,0
200,8,3,26,1,0,0,0,27,0
201,5,3,18,1,0,0,1,19,0
202,1,0,0,0,0,0,1,0,0
203,1,2,1,1,0,0,0,2,1
204,2,3,6,1,0,0,0,7,0
205,3,3,10,1,0,0,0,11,0
206,2,3,5,1,0,0,1,6,0
207,2,3,6,1,0,0,0,7,0
208,8,3,27,1,1,0,0,28,0
209,4,3,12,1,0,0,0,13,0
210,9,4,35,1,0,0,1,36,0
211,8,3,27,2,0,0,2,29,0
212,9,4,36,1,0,0,0,37,0
213,5,2,12,1,1,0,0,13,0
214,7,3,20,1,1,0,1,21,0
215,9,4,37,1,1,0,-1,38,0
216,11,3,40,2,0,0,1,42,0
217,3,3,9,1,0,0,1,10,0
218,4,3,11,1,0,0,0,12,0
219,4,5,19,1,0,0,0,20,0
220,1,0,0,0,1,0,0,0,0
221,7,4,30,1,1,0,1,31,0
222,2,4,8,1,1,0,0,9,0
223,7,3,20,1,1,0,0,21,0
224,2,6,12,1,0,0,1,13,0
226,6,3,11,1,0,0,0,0,0
227,7,3,21,1,1,0,0,22,0
228,7,4,20,1,1,0,1,21,0
229,15,4,28,2,0,0,2,30,0
230,1,0,66,2,1,0,1,68,0
231,6,4,0,0,1,0,0,0,0
232,1,4,26,1,0,0,1,27,0
233,8,4,3,1,0,0,0,4,0
235,5,3,35,1,0,0,0,36,0
236,4,2,11,1,0,0,0,0,0
237,3,2,16,1,0,0,1,17,0
238,7,5,10,1,0,0,1,11,0
239,4,3,7,1,1,0,0,8,0
240,13,3,35,2,0,0,1,37,0
241,4,4,14,1,0,0,1,15,0
242,6,4,43,2,0,3,3,45,1
243,5,2,16,1,0,0,1,17,0
244,12,4,25,1,0,0,1,26,0
245,12,3,13,1,1,0,0,14,0
246,2,3,49,2,0,0,2,51,0
247,3,4,44,3,0,0,3,47,0
248,4,5,6,1,0,0,0,7,0
249,4,4,12,1,0,0,0,13,0
250,1,6,21,1,0,0,0,22,0
251,4,4,15,1,0,0,0,16,0
252,3,2,5,1,0,0,0,6,0
253,4,3,17,1,0,0,0,18,0
254,3,4,6,1,0,0,0,7,2
255,3,4,11,1,2,0,0,12,0
256,3,3,11,1,0,0,0,12,0
257,2,4,11,1,0,0,0,12,0
260,5,4,9,1,0,0,1,10,0
261,10,2,7,1,0,0,1,8,0
262,1,5,11,1,0,0,0,0,0
263,1,0,11,1,0,0,0,0,0
264,13,3,19,1,0,0,0,20,0
265,1,2,28,1,1,0,0,29,1
266,6,3,4,1,0,0,0,5,0
267,4,2,0,0,0,0,2,0,0
268,5,3,45,0,0,0,1,45,0
269,4,4,2,0,0,0,0,2,0
270,2,2,22,0,0,0,0,22,0
271,4,4,9,1,2,0,0,10,0
272,12,3,15,1,1,0,0,16,0
273,6,4,17,1,0,0,1,18,0
274,2,3,4,1,0,0,0,5,0
275,4,4,18,1,0,0,1,19,0
276,1,1,45,2,1,0,1,47,1
277,5,3,23,1,0,0,1,24,0
278,5,2,5,1,0,0,0,6,0
279,5,3,17,1,0,0,0,18,1
280,2,3,0,1,0,0,1,1,0
281,9,3,16,0,0,0,1,16,0
282,6,4,13,0,0,0,2,13,0
283,6,3,17,1,0,0,0,18,0
284,6,3,6,1,0,0,0,7,0
285,8,3,34,1,0,0,0,35,0
286,2,2,24,1,0,0,1,25,0
287,10,3,22,1,0,0,0,23,0
288,1,2,20,1,0,0,0,21,0
289,4,3,25,1,0,3,0,26,3
290,3,4,4,1,0,0,0,5,0
291,7,4,38,1,0,0,0,39,1
292,4,4,1,1,0,0,0,2,1
293,5,5,12,2,1,0,1,14,0
294,7,3,11,1,0,0,0,12,0
295,9,3,28,1,0,0,0,29,0
296,5,3,15,1,0,0,0,16,0
297,4,4,26,1,0,0,0,27,0
298,1,0,25,1,0,0,0,26,0
299,11,3,31,1,1,0,0,32,0
300,4,4,17,2,0,0,1,19,0
301,1,5,16,1,0,0,0,17,0
302,2,4,0,0,1,0,0,0,0
303,1,0,40,1,0,0,0,41,0
304,8,3,16,1,0,0,1,17,0
305,3,3,4,1,0,0,0,5,0
306,3,4,7,1,0,0,0,8,0
307,3,4,0,0,2,0,0,0,0
308,5,4,30,1,1,0,0,31,0
309,3,3,9,1,0,0,0,10,0
310,1,0,11,1,0,0,0,12,0
311,1,3,13,1,0,0,0,14,0
312,1,0,21,1,0,0,0,22,0
313,9,3,9,1,0,0,1,10,0
314,5,4,0,0,1,0,0,0,0
315,2,5,2,1,0,0,0,3,0
316,4,3,0,0,1,0,0,0,0
317,9,2,27,1,1,0,0,28,0
318,7,3,20,1,0,0,0,21,0
319,7,4,10,1,0,0,0,11,0
320,7,3,11,1,0,0,0,12,0
321,6,4,25,1,1,0,0,26,0
322,6,3,22,1,1,0,0,23,0
323,4,4,31,1,0,0,0,32,0
324,1,0,20,1,1,0,0,21,0
325,4,4,28,1,0,0,0,29,0
326,6,4,20,1,1,0,0,21,0
327,4,2,17,1,0,0,0,18,0
328,7,2,0,0,1,0,0,0,0
329,1,0,18,1,0,0,0,19,0
330,6,4,23,1,0,0,0,24,0
331,3,4,10,1,0,0,0,11,0
332,1,0,18,1,1,0,0,19,0
333,2,3,0,0,2,0,0,0,0
334,5,4,24,2,0,0,1,26,0
335,5,5,12,1,0,0,1,13,0
336,4,5,0,0,1,0,0,0,0
337,1,3,6,1,0,0,0,7,0
338,3,2,22,1,0,0,0,23,0
339,10,3,24,1,0,0,0,25,0
340,2,2,22,1,0,0,2,23,0
341,5,3,2,1,0,0,0,3,0
342,7,4,5,1,0,0,0,6,0
343,1,9,34,2,1,0,2,36,0
344,7,5,3,1,0,0,0,4,0
345,10,4,18,1,0,0,1,19,0
346,1,0,29,1,0,0,1,30,0
347,5,2,8,1,0,0,1,9,0
348,3,4,35,1,0,0,0,36,0
349,3,3,42,1,0,0,1,43,0
350,2,5,0,0,2,0,0,0,0
351,2,4,13,1,1,0,2,14,0
352,2,6,13,1,0,0,0,14,0
353,2,6,8,1,0,0,2,9,0
354,2,3,9,1,0,0,1,10,0
355,8,3,8,1,0,0,1,9,0
356,7,4,11,1,0,0,1,12,0
357,6,3,11,1,0,0,1,12,0
358,2,2,6,1,1,0,1,7,0
359,3,3,26,1,0,0,1,27,0
360,5,3,29,1,0,0,0,30,0
361,13,3,22,1,0,0,0,23,0
362,7,4,3,1,0,0,1,4,0
363,6,4,9,1,0,0,1,10,0
364,6,5,14,1,0,0,0,15,0
365,9,4,40,1,1,0,0,41,0
366,17,3,27,1,0,0,0,28,0
367,8,4,26,1,0,0,0,27,0
368,1,0,29,1,0,0,1,30,0
369,8,3,39,1,0,0,0,40,0
370,4,5,63,1,0,0,2,64,0
371,5,3,31,1,1,0,0,32,0
372,5,4,0,0,0,0,0,0,0
373,7,4,25,1,0,0,0,26,0
374,2,1,19,1,0,0,0,20,0
375,4,4,18,1,0,0,0,19,0
376,6,4,21,1,0,0,0,22,0
377,6,3,29,1,0,0,1,30,0
378,1,3,2,1,1,0,0,3,0
379,3,6,17,1,0,0,0,18,0
380,4,4,25,1,0,0,0,26,0
382,6,4,17,1,1,0,0,18,0
383,6,3,2,1,0,0,0,3,1
384,7,3,17,1,0,0,0,18,0
385,3,4,16,1,0,0,0,17,0
386,9,3,11,1,0,0,0,0,0
387,6,4,25,1,0,0,0,26,0
388,6,3,17,1,0,0,0,18,1
389,5,2,20,1,1,0,0,21,0
390,6,3,12,1,0,0,0,13,0
391,4,4,29,1,1,0,0,30,0
392,7,3,27,1,0,0,0,28,1
393,3,4,22,1,0,0,1,23,0
394,2,3,13,1,1,0,2,14,0
395,14,3,22,1,0,0,0,23,0
396,6,3,17,1,0,0,1,18,0
397,3,4,23,1,1,0,0,24,0
398,1,4,11,1,0,0,0,12,0
399,14,3,5,1,2,0,2,6,0
400,1,0,42,1,1,0,1,43,0
401,5,3,22,1,0,0,0,23,0
402,4,3,11,1,0,0,0,12,0
403,15,3,3,1,0,0,0,4,0
404,4,2,51,1,0,0,0,52,0
405,10,2,0,0,1,0,0,0,0
406,8,3,16,1,0,0,0,17,0
407,5,3,13,1,0,0,0,14,0
408,4,2,55,1,1,0,0,56,0
409,2,7,10,1,0,0,0,11,0
410,13,3,28,1,0,0,0,29,0
411,2,3,26,1,2,0,0,27,0
412,3,4,16,1,1,0,0,17,0
413,1,0,10,1,1,0,0,11,0
414,4,2,13,1,0,0,0,14,0
415,1,6,42,1,0,0,1,43,0
416,3,3,6,1,0,0,0,7,0
417,1,3,11,1,0,0,0,12,0
418,3,5,0,0,1,0,0,0,0
419,8,2,10,1,0,0,1,11,0
420,4,3,5,1,0,0,0,6,0
421,10,5,8,1,0,0,0,9,0
422,1,0,2,1,0,0,0,3,0
423,7,4,16,1,1,0,0,17,0
424,3,7,22,1,2,0,0,23,0
425,3,2,13,1,0,0,0,14,0
426,1,5,51,1,0,0,3,52,0
427,5,3,0,0,2,0,0,0,0
428,5,4,27,4,0,0,1,31,0
429,9,3,20,1,0,0,0,21,0
430,5,3,6,1,1,0,0,7,0
431,8,4,4,1,0,0,0,5,0
432,10,3,15,1,0,0,2,16,1
433,4,4,19,1,1,0,0,20,0
434,3,3,31,1,1,0,0,32,0
435,11,3,15,1,2,0,0,16,0
436,4,3,35,1,1,0,0,36,0
437,8,4,33,2,1,0,1,35,1
438,7,3,18,1,0,0,1,19,0
439,7,4,8,1,1,0,0,9,0
440,2,4,34,1,1,1,1,35,0
441,9,2,14,1,0,0,0,15,0
442,1,0,32,1,0,0,0,33,0
443,3,3,20,1,2,0,0,21,0
444,7,3,31,1,0,0,0,32,0
445,1,4,7,1,0,0,1,8,0
446,4,4,25,1,0,0,1,26,1
447,4,3,0,0,1,0,0,0,0
448,7,2,9,1,1,0,1,10,0
449,1,0,21,1,1,0,0,22,0
450,1,3,3,1,0,0,0,4,0
451,6,2,18,1,0,0,0,19,0
452,6,3,12,1,1,0,0,13,0
453,5,3,18,1,1,3,0,19,0
454,1,0,0,0,0,0,1,0,0
455,3,3,2,1,0,0,0,3,0
456,2,2,14,1,1,0,0,15,0
457,1,3,17,1,2,0,0,18,0
458,4,2,15,1,0,0,0,16,0
459,9,3,0,0,2,0,0,0,0
460,2,3,10,1,0,0,0,11,0
461,5,3,3,1,1,0,0,4,0
462,5,4,2,1,0,0,0,3,0
463,7,3,8,1,1,2,0,9,0
464,5,3,27,1,1,0,0,28,0
465,6,4,5,1,0,0,0,6,0
466,7,4,16,1,0,0,0,17,0
467,7,5,20,1,0,0,0,21,0
468,6,4,24,1,1,0,0,25,0
469,3,2,17,1,2,0,0,18,0
470,3,3,23,1,0,0,1,24,0
471,8,2,28,1,1,0,0,29,0
472,6,4,37,1,0,0,0,38,0
473,4,4,24,1,1,0,0,25,0
474,7,3,5,1,1,0,0,6,0
475,7,4,10,1,0,0,0,11,0
476,6,3,19,1,2,0,0,20,1
477,6,4,25,1,0,0,0,26,0
478,4,2,16,1,2,0,0,17,0
479,6,3,21,1,1,0,0,22,0
480,9,3,29,1,0,0,0,30,0
481,3,1,19,1,0,0,0,20,0
482,17,4,23,1,0,0,0,24,0
483,3,3,10,1,1,0,0,11,0
484,7,4,22,1,0,0,0,23,0
485,11,4,31,1,1,0,0,32,0
486,8,2,4,1,1,1,0,5,0
487,8,4,76,2,0,1,3,78,1
488,6,4,10,1,0,0,0,11,0
489,4,2,28,1,1,0,0,29,0
490,2,2,47,1,0,0,0,48,0
491,1,0,18,1,0,0,4,19,0
492,1,6,37,1,0,0,0,38,0
493,6,3,23,1,1,0,0,24,0
494,5,3,8,1,1,0,0,9,0
495,1,6,3,1,0,0,0,4,0
496,5,4,0,0,2,0,0,0,0
497,3,5,5,1,0,0,0,6,0
498,16,3,21,1,0,0,0,22,0
499,7,4,18,1,0,0,0,19,0
>>>>>>> b6cbd4363d5665ffab64746a7175c5ed6ceda833
